vehicle_age,km_driven,mileage,engine,seats,selling_price,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Manual,brand_encoded,model_encoded
9,120000,19.7,796,5,120000,0.0,0.0,0.0,1.0,1.0,4992,778
5,20000,18.9,1197,5,550000,0.0,0.0,0.0,1.0,1.0,2982,580
11,60000,17.0,1197,5,215000,0.0,0.0,0.0,1.0,1.0,2982,906
9,37000,20.92,998,5,226000,0.0,0.0,0.0,1.0,1.0,4992,778
6,30000,22.77,1498,5,570000,1.0,0.0,0.0,0.0,1.0,790,374
8,35000,18.9,998,5,350000,0.0,0.0,0.0,1.0,1.0,4992,717
8,40000,20.36,1197,5,315000,0.0,0.0,0.0,1.0,1.0,2982,410
3,17512,20.51,998,5,410000,0.0,0.0,0.0,1.0,1.0,4992,717
2,20000,18.15,998,5,1050000,0.0,0.0,0.0,1.0,0.0,2982,58
4,28321,16.6,1197,5,511000,0.0,0.0,0.0,1.0,1.0,4992,781
8,65278,22.32,1582,5,425000,1.0,0.0,0.0,0.0,1.0,2982,492
5,50000,19.64,1461,5,750000,1.0,0.0,0.0,0.0,1.0,536,218
4,6000,14.41,1998,5,3250000,0.0,0.0,0.0,1.0,0.0,17,17
5,76000,28.09,1248,5,650000,1.0,0.0,0.0,0.0,1.0,4992,346
5,20000,25.2,1248,5,627000,1.0,0.0,0.0,0.0,1.0,4992,781
7,65000,19.27,2143,5,1425000,1.0,0.0,0.0,0.0,0.0,337,118
7,62200,28.4,1248,5,425000,1.0,0.0,0.0,0.0,1.0,4992,781
8,110000,12.99,2494,8,605000,1.0,0.0,0.0,0.0,1.0,793,545
6,20000,21.4,1197,5,600000,0.0,0.0,0.0,1.0,1.0,4992,364
5,40000,20.85,1197,5,575000,0.0,0.0,0.0,1.0,1.0,4992,890
8,47000,16.09,1598,5,425000,0.0,0.0,0.0,1.0,1.0,620,247
8,25000,20.92,998,5,230000,0.0,0.0,0.0,1.0,1.0,4992,778
2,15000,19.67,1582,5,1225000,1.0,0.0,0.0,0.0,1.0,2982,336
6,50000,17.4,1497,5,750000,0.0,0.0,0.0,1.0,1.0,1485,757
10,25000,13.6,2523,7,350000,1.0,0.0,0.0,0.0,1.0,1011,211
6,90000,26.59,1248,5,600000,1.0,0.0,0.0,0.0,1.0,4992,890
8,45000,26.59,1248,5,390000,1.0,0.0,0.0,0.0,1.0,4992,890
14,77253,17.7,1497,5,145000,0.0,0.0,0.0,1.0,1.0,1485,757
3,25000,17.19,1197,5,700000,0.0,0.0,0.0,1.0,1.0,2982,906
8,110000,13.0,2982,7,1150000,1.0,0.0,0.0,0.0,1.0,793,187
4,30000,23.01,999,5,340000,0.0,0.0,0.0,1.0,1.0,536,306
5,39993,18.6,1199,5,465000,0.0,0.0,0.0,1.0,1.0,1485,362
12,80000,17.92,1086,5,125000,0.0,0.0,0.0,1.0,1.0,2982,139
9,185000,15.1,2179,7,600000,1.0,0.0,0.0,0.0,1.0,1011,330
8,90000,23.4,1248,5,380000,1.0,0.0,0.0,0.0,1.0,4992,890
3,15000,22.54,1396,5,850000,1.0,0.0,0.0,0.0,1.0,2982,906
3,40000,18.6,1197,5,598000,0.0,0.0,0.0,1.0,1.0,2982,906
6,31180,18.0,1497,5,700000,0.0,0.0,0.0,1.0,0.0,1485,757
7,56000,23.4,1248,5,410000,1.0,0.0,0.0,0.0,1.0,4992,890
5,52427,21.4,1197,5,590000,0.0,0.0,0.0,1.0,0.0,4992,364
1,40000,21.0,1498,7,850000,1.0,0.0,0.0,0.0,1.0,1011,211
3,17000,18.15,1198,5,550000,0.0,0.0,0.0,1.0,1.0,1011,27
5,22000,15.4,1590,5,625000,0.0,0.0,0.0,1.0,1.0,4992,364
5,54000,20.85,1197,5,600000,0.0,0.0,0.0,1.0,1.0,4992,890
2,10000,20.51,998,5,445000,0.0,0.0,0.0,1.0,1.0,4992,717
2,20000,20.89,1197,5,530000,0.0,0.0,0.0,1.0,1.0,4992,73
3,53237,26.6,998,5,410000,0.0,0.0,0.0,0.0,1.0,4992,717
3,27263,22.5,999,5,350000,0.0,0.0,0.0,1.0,1.0,170,75
7,110000,22.32,1582,5,520000,1.0,0.0,0.0,0.0,1.0,2982,492
5,70000,22.54,1396,5,750000,1.0,0.0,0.0,0.0,1.0,2982,906
4,70000,26.59,1248,5,560000,1.0,0.0,0.0,0.0,1.0,4992,890
2,39000,18.6,1197,5,655000,0.0,0.0,0.0,1.0,1.0,2982,906
14,56000,17.8,1086,5,125000,0.0,0.0,0.0,1.0,1.0,2982,139
3,34000,18.6,1197,5,550000,0.0,0.0,0.0,1.0,1.0,2982,906
4,50000,15.4,1997,7,1150000,1.0,0.0,0.0,0.0,1.0,1011,273
9,77400,20.54,1598,5,500000,1.0,0.0,0.0,0.0,1.0,620,247
2,36000,17.3,1497,7,990000,1.0,0.0,0.0,0.0,1.0,1011,24
8,47876,25.0,1493,5,551000,1.0,0.0,0.0,0.0,1.0,2982,492
3,21500,15.1,2179,7,1650000,1.0,0.0,0.0,0.0,0.0,1011,330
6,75000,24.0,1120,5,350000,1.0,0.0,0.0,0.0,1.0,2982,580
4,58000,18.16,1196,5,500000,0.0,0.0,0.0,1.0,1.0,790,65
3,30000,21.21,1197,5,575000,0.0,0.0,0.0,1.0,1.0,4992,890
3,50000,24.0,1186,5,545000,1.0,0.0,0.0,0.0,1.0,2982,580
4,19093,18.16,1196,5,525000,0.0,0.0,0.0,1.0,1.0,790,271
7,50000,18.0,1198,5,400000,0.0,0.0,0.0,1.0,1.0,1485,362
15,37000,14.0,1061,5,155000,0.0,0.0,0.0,1.0,1.0,4992,717
5,47000,26.59,1248,5,545000,1.0,0.0,0.0,0.0,1.0,4992,890
8,70000,16.8,1497,5,545000,0.0,0.0,0.0,1.0,1.0,1485,757
5,25000,25.17,799,5,240000,0.0,0.0,0.0,1.0,1.0,536,306
3,26000,24.3,1248,5,725000,1.0,0.0,0.0,0.0,1.0,4992,295
4,30000,18.16,1196,5,480000,0.0,0.0,0.0,1.0,1.0,790,65
8,15000,18.5,1197,5,375000,0.0,0.0,0.0,1.0,1.0,2982,906
10,160000,17.8,1248,5,225000,1.0,0.0,0.0,0.0,1.0,4992,781
4,32100,23.84,1199,5,400000,0.0,0.0,0.0,1.0,1.0,430,145
5,22000,18.5,1197,5,550000,0.0,0.0,0.0,1.0,1.0,2982,906
5,44000,15.4,2179,7,1050000,1.0,0.0,0.0,0.0,1.0,1011,273
5,78000,18.78,1198,5,450000,0.0,0.0,0.0,1.0,1.0,620,373
9,74352,11.74,1796,5,775000,0.0,0.0,0.0,1.0,0.0,337,118
7,37000,20.51,998,5,350000,0.0,0.0,0.0,1.0,1.0,4992,717
7,69000,25.1,1498,5,550000,1.0,0.0,0.0,0.0,1.0,1485,757
2,12120,16.8,1497,5,1080000,0.0,0.0,0.0,1.0,1.0,32,28
5,52000,21.01,1197,5,575000,0.0,0.0,0.0,1.0,1.0,4992,364
5,120000,12.99,2494,8,950000,1.0,0.0,0.0,0.0,1.0,793,545
8,55000,22.74,796,5,230000,0.0,0.0,0.0,1.0,1.0,4992,778
10,160000,21.9,1396,5,270000,1.0,0.0,0.0,0.0,1.0,2982,906
10,40000,15.6,1196,5,130000,0.0,0.0,0.0,1.0,1.0,790,271
9,46000,19.1,1197,5,370000,0.0,0.0,0.0,1.0,1.0,4992,890
4,25000,21.4,1197,5,570000,0.0,0.0,0.0,1.0,1.0,4992,364
8,90000,22.07,1199,5,365000,1.0,0.0,0.0,0.0,1.0,620,373
9,49566,18.5,1197,5,280000,0.0,0.0,0.0,1.0,1.0,2982,906
3,14000,22.0,1582,5,1250000,1.0,0.0,0.0,0.0,0.0,2982,492
5,11000,18.6,1197,5,590000,0.0,0.0,0.0,1.0,1.0,2982,906
3,5000,23.1,998,5,475000,0.0,0.0,0.0,1.0,0.0,4992,237
4,55000,23.0,1498,5,685000,1.0,0.0,0.0,0.0,1.0,790,374
9,65000,19.08,1582,5,380000,1.0,0.0,0.0,0.0,0.0,2982,492
3,22000,23.01,999,5,330000,0.0,0.0,0.0,1.0,1.0,536,306
3,7671,21.01,1197,5,650000,0.0,0.0,0.0,1.0,1.0,4992,364
5,66000,20.51,998,5,325000,0.0,0.0,0.0,1.0,1.0,4992,717
3,45156,21.21,1197,5,640000,0.0,0.0,0.0,1.0,0.0,4992,890
2,25000,18.27,998,5,949000,0.0,0.0,0.0,1.0,1.0,2982,58
6,120000,23.9,1582,5,660000,1.0,0.0,0.0,0.0,1.0,2982,492
7,28000,16.1,1197,5,435000,0.0,0.0,0.0,1.0,1.0,4992,781
8,55000,21.9,1396,5,385000,1.0,0.0,0.0,0.0,1.0,2982,906
2,14000,22.0,1582,5,1250000,1.0,0.0,0.0,0.0,0.0,2982,492
12,98780,18.9,998,5,155000,0.0,0.0,0.0,1.0,1.0,4992,717
6,58000,25.2,1248,5,415000,1.0,0.0,0.0,0.0,1.0,4992,781
10,30000,20.92,998,5,251000,0.0,0.0,0.0,1.0,1.0,4992,778
5,46400,15.4,2179,7,1150000,1.0,0.0,0.0,0.0,1.0,1011,273
7,32111,19.81,1086,5,310000,0.0,0.0,0.0,1.0,1.0,2982,410
6,35000,19.44,1198,7,350000,0.0,0.0,0.0,1.0,1.0,170,85
4,30000,15.4,1997,7,1125000,1.0,0.0,0.0,0.0,1.0,1011,273
5,63000,18.59,2993,5,2600000,1.0,0.0,0.0,0.0,0.0,439,118
3,10000,20.62,1198,7,480000,0.0,0.0,0.0,1.0,1.0,170,85
4,25000,28.4,1248,5,850000,1.0,0.0,0.0,0.0,0.0,4992,890
4,102000,17.01,1582,5,1100000,1.0,0.0,0.0,0.0,0.0,2982,336
3,35000,22.0,1197,5,575000,0.0,0.0,0.0,1.0,1.0,4992,781
9,49948,17.5,1298,5,340000,0.0,0.0,0.0,1.0,1.0,4992,890
3,55000,23.0,1498,5,925000,1.0,0.0,0.0,0.0,1.0,790,374
6,36000,18.9,1197,5,400000,0.0,0.0,0.0,1.0,1.0,2982,580
5,49625,17.8,1497,5,725000,0.0,0.0,0.0,1.0,1.0,1485,757
7,35000,23.4,1248,5,600000,1.0,0.0,0.0,0.0,1.0,4992,890
8,95000,12.05,2179,8,550000,1.0,0.0,0.0,0.0,1.0,1011,273
4,36000,25.83,1498,5,585000,1.0,0.0,0.0,0.0,1.0,790,65
2,50000,21.79,998,5,411000,0.0,0.0,0.0,1.0,1.0,4992,717
6,26500,20.85,1197,5,450000,0.0,0.0,0.0,1.0,1.0,4992,890
6,80000,13.7,1997,5,1290000,0.0,0.0,0.0,1.0,0.0,1485,28
6,46000,16.47,1198,5,455000,0.0,0.0,0.0,1.0,1.0,620,373
2,9000,20.7,1197,5,710000,0.0,0.0,0.0,1.0,1.0,2982,580
5,53000,16.8,1497,5,770000,0.0,0.0,0.0,1.0,1.0,1485,757
3,11387,10.91,3198,7,2900000,1.0,0.0,0.0,0.0,0.0,790,47
3,50000,25.8,1498,5,720000,1.0,0.0,0.0,0.0,1.0,1485,362
5,52000,25.32,1198,5,375000,1.0,0.0,0.0,0.0,1.0,1011,66
6,35000,19.44,1198,7,400000,0.0,0.0,0.0,1.0,1.0,170,85
6,48000,19.87,1461,5,600000,1.0,0.0,0.0,0.0,1.0,536,218
3,18000,18.7,1199,5,600000,0.0,0.0,0.0,1.0,1.0,1485,175
9,57413,14.4,998,5,270000,0.0,0.0,1.0,0.0,1.0,4992,717
6,30000,18.6,1197,5,500000,0.0,0.0,0.0,1.0,1.0,2982,906
6,55000,23.9,1582,5,650000,1.0,0.0,0.0,0.0,1.0,2982,492
3,10000,21.21,1197,5,660000,0.0,0.0,0.0,1.0,0.0,4992,781
5,68000,22.69,1995,5,2090000,1.0,0.0,0.0,0.0,0.0,439,152
1,8000,16.8,1497,5,1275000,0.0,0.0,0.0,1.0,1.0,32,28
6,65000,28.4,1248,5,495000,1.0,0.0,0.0,0.0,1.0,4992,781
5,25000,18.9,1197,5,475000,0.0,0.0,0.0,1.0,1.0,2982,580
6,70000,20.73,1373,5,530000,0.0,0.0,0.0,1.0,1.0,4992,346
5,9500,23.84,1199,5,530000,0.0,0.0,0.0,1.0,1.0,430,145
6,9100,17.01,1591,5,650000,0.0,0.0,0.0,1.0,1.0,2982,492
11,86000,17.0,1497,5,335000,0.0,0.0,0.0,1.0,1.0,1485,757
8,78000,16.55,1968,5,1290000,1.0,0.0,0.0,0.0,0.0,192,99
10,60000,20.0,1399,5,300000,1.0,0.0,0.0,0.0,1.0,790,271
2,7883,21.5,1197,5,550000,0.0,0.0,0.0,1.0,0.0,4992,717
8,50205,23.4,1248,5,390000,1.0,0.0,0.0,0.0,1.0,4992,890
13,220000,13.6,2523,7,260000,1.0,0.0,0.0,0.0,1.0,1011,211
4,58000,24.7,1047,5,395000,1.0,0.0,0.0,0.0,1.0,430,37
9,170000,12.05,2179,8,550000,1.0,0.0,0.0,0.0,1.0,1011,273
3,15000,22.0,1197,5,650000,0.0,0.0,0.0,1.0,1.0,4992,890
5,71245,28.4,1248,5,375000,1.0,0.0,0.0,0.0,1.0,4992,781
2,7000,16.1,1353,5,1300000,0.0,0.0,0.0,1.0,1.0,32,28
3,20000,23.95,998,5,360000,0.0,0.0,0.0,1.0,1.0,4992,778
1,8700,21.63,998,5,505000,0.0,0.0,0.0,1.0,1.0,4992,237
2,25000,24.7,796,5,310000,0.0,0.0,0.0,1.0,1.0,4992,778
6,42000,18.6,1197,5,545000,0.0,0.0,0.0,1.0,1.0,2982,906
15,120000,13.6,2523,7,150000,1.0,0.0,0.0,0.0,1.0,1011,211
3,50000,21.4,1197,5,580000,0.0,0.0,0.0,1.0,1.0,4992,364
10,58000,18.9,998,5,250000,0.0,0.0,0.0,1.0,1.0,4992,717
4,36000,17.43,1396,5,650000,0.0,0.0,0.0,1.0,1.0,2982,492
3,30000,25.47,1248,7,410000,1.0,0.0,0.0,0.0,1.0,4992,343
6,162828,22.77,1498,5,531000,1.0,0.0,0.0,0.0,1.0,790,374
3,7500,23.0,1498,5,890000,1.0,0.0,0.0,0.0,1.0,790,374
5,47227,14.0,2179,7,775000,1.0,0.0,0.0,0.0,1.0,430,100
3,52000,33.54,998,5,435000,0.0,0.0,0.0,0.0,1.0,4992,717
9,74000,20.0,1399,5,185000,1.0,0.0,0.0,0.0,1.0,790,271
10,47000,15.96,2523,7,440000,1.0,0.0,0.0,0.0,1.0,1011,211
6,50000,18.6,1197,5,450000,0.0,0.0,0.0,1.0,1.0,2982,906
4,100000,21.4,1197,5,600000,0.0,0.0,0.0,1.0,1.0,4992,364
7,35000,23.1,998,5,320000,0.0,0.0,0.0,1.0,1.0,4992,237
5,50000,21.19,1396,5,700000,1.0,0.0,0.0,0.0,1.0,2982,906
3,10000,18.16,1196,5,630000,0.0,0.0,0.0,1.0,1.0,790,65
5,10370,22.74,796,5,320000,0.0,0.0,0.0,1.0,1.0,4992,778
8,62000,16.8,1497,5,465000,0.0,0.0,0.0,1.0,1.0,1485,757
5,40000,18.6,1197,5,550000,0.0,0.0,0.0,1.0,1.0,2982,906
4,60000,22.0,1197,5,445000,0.0,0.0,0.0,1.0,1.0,4992,781
8,67231,14.0,2179,7,705000,1.0,0.0,0.0,0.0,1.0,430,100
8,64000,33.54,998,5,270000,0.0,0.0,0.0,0.0,1.0,4992,717
7,63000,26.0,1498,5,475000,1.0,0.0,0.0,0.0,1.0,1485,757
6,80000,12.55,2982,7,1755000,1.0,0.0,0.0,0.0,1.0,793,187
10,55000,16.9,1497,5,350000,0.0,0.0,0.0,1.0,1.0,1485,757
5,11000,18.6,1197,5,575000,0.0,0.0,0.0,1.0,1.0,2982,906
4,17000,23.01,999,5,360000,0.0,0.0,0.0,1.0,1.0,536,306
4,25000,24.7,796,5,275000,0.0,0.0,0.0,1.0,1.0,4992,778
5,33350,19.44,1198,7,320000,0.0,0.0,0.0,1.0,1.0,170,85
6,62000,18.9,1197,5,370000,0.0,0.0,0.0,1.0,1.0,2982,580
12,59000,17.5,1298,5,275000,0.0,0.0,0.0,1.0,1.0,4992,890
7,86113,17.4,1497,5,550000,0.0,0.0,0.0,1.0,1.0,1485,757
3,10000,28.4,1248,5,750000,1.0,0.0,0.0,0.0,1.0,4992,890
6,92537,20.51,998,5,272000,0.0,0.0,0.0,1.0,1.0,4992,717
2,27645,28.09,1248,5,951000,1.0,0.0,0.0,0.0,1.0,4992,346
8,46242,20.92,998,5,280000,0.0,0.0,0.0,1.0,1.0,4992,778
8,70000,16.8,1497,5,545000,0.0,0.0,0.0,1.0,1.0,1485,757
1,6000,22.3,799,5,450000,0.0,0.0,0.0,1.0,1.0,536,306
4,64000,18.6,1197,5,480000,0.0,0.0,0.0,1.0,1.0,2982,906
4,93000,15.4,1997,7,1060000,1.0,0.0,0.0,0.0,1.0,1011,273
8,26200,22.74,796,5,235000,0.0,0.0,0.0,1.0,1.0,4992,778
4,25000,21.4,1197,5,590000,0.0,0.0,0.0,1.0,1.0,4992,364
3,50000,12.9,2755,7,2950000,1.0,0.0,0.0,0.0,0.0,793,187
13,80000,17.92,1086,5,110000,0.0,0.0,0.0,1.0,1.0,2982,139
14,110000,13.5,2179,5,280000,1.0,0.0,0.0,0.0,1.0,1011,273
5,55000,17.84,1395,5,1851000,0.0,0.0,0.0,1.0,0.0,192,99
3,25000,17.4,1497,5,750000,0.0,0.0,0.0,1.0,1.0,1485,757
6,36000,18.9,1197,5,400000,0.0,0.0,0.0,1.0,1.0,2982,580
6,40000,26.59,1248,5,530000,1.0,0.0,0.0,0.0,1.0,4992,890
3,25000,16.55,2498,6,870000,1.0,0.0,0.0,0.0,1.0,1011,62
3,30038,25.17,799,5,295000,0.0,0.0,0.0,1.0,1.0,536,306
4,53000,27.28,1047,5,370000,1.0,0.0,0.0,0.0,1.0,430,145
3,5000,21.21,1197,5,530000,0.0,0.0,0.0,1.0,1.0,4992,781
4,35000,24.04,999,5,350000,0.0,0.0,0.0,1.0,0.0,536,306
8,62000,22.7,1498,5,470000,1.0,0.0,0.0,0.0,1.0,790,374
6,42000,25.83,1498,5,390000,1.0,0.0,0.0,0.0,1.0,790,65
6,80000,15.4,2179,7,920000,1.0,0.0,0.0,0.0,1.0,1011,273
8,60000,15.1,2179,7,550000,1.0,0.0,0.0,0.0,1.0,1011,330
7,45000,22.32,1582,5,635000,1.0,0.0,0.0,0.0,1.0,2982,492
4,50000,16.0,2179,7,1250000,1.0,0.0,0.0,0.0,0.0,1011,330
3,12000,24.7,796,5,300000,0.0,0.0,0.0,1.0,1.0,4992,778
3,12000,18.0,1497,5,960000,0.0,0.0,0.0,1.0,0.0,1485,757
3,15000,24.3,1248,5,750000,1.0,0.0,0.0,0.0,1.0,4992,295
10,63000,16.47,1198,5,249000,0.0,0.0,0.0,1.0,1.0,620,373
3,30000,17.6,2179,7,1400000,1.0,0.0,0.0,0.0,1.0,430,41
10,160800,20.0,1399,5,250000,1.0,0.0,0.0,0.0,1.0,790,271
7,120000,22.32,1582,5,610000,1.0,0.0,0.0,0.0,1.0,2982,492
5,78247,21.7,1498,5,545000,1.0,0.0,0.0,0.0,1.0,790,374
8,113000,22.32,1582,5,480000,1.0,0.0,0.0,0.0,1.0,2982,492
7,52000,18.6,1197,5,395000,0.0,0.0,0.0,1.0,1.0,2982,906
9,109000,12.99,2494,7,495000,1.0,0.0,0.0,0.0,1.0,793,545
4,90000,18.9,1197,5,470000,0.0,0.0,0.0,1.0,1.0,2982,580
10,98000,22.07,1199,5,200000,1.0,0.0,0.0,0.0,1.0,620,373
5,20000,21.19,1396,5,699000,1.0,0.0,0.0,0.0,1.0,2982,906
7,21717,20.51,998,5,340000,0.0,0.0,0.0,1.0,1.0,4992,717
7,40000,20.45,1461,5,500000,1.0,0.0,0.0,0.0,1.0,536,218
4,50000,17.14,1497,5,1050000,0.0,0.0,0.0,1.0,1.0,1485,757
5,90000,19.6,1461,5,600000,1.0,0.0,0.0,0.0,1.0,536,218
4,27876,20.4,1197,5,491000,0.0,0.0,0.0,1.0,1.0,4992,781
5,56000,12.63,1999,5,2890000,0.0,0.0,0.0,1.0,0.0,51,51
13,57215,20.36,1197,5,160000,0.0,0.0,0.0,1.0,1.0,2982,410
2,5400,18.27,998,5,985000,0.0,0.0,0.0,1.0,1.0,2982,58
7,60000,23.4,1248,5,500000,1.0,0.0,0.0,0.0,1.0,4992,890
4,24800,23.84,1199,5,335000,0.0,0.0,0.0,1.0,1.0,430,145
16,70000,19.7,796,5,85000,0.0,0.0,0.0,1.0,1.0,4992,778
3,20000,17.1,1199,5,740000,0.0,0.0,0.0,1.0,0.0,1485,175
8,34553,22.0,1197,5,375000,0.0,0.0,0.0,1.0,1.0,4992,781
3,40000,24.3,1248,5,810000,1.0,0.0,0.0,0.0,1.0,4992,295
11,350000,16.47,1198,5,173000,0.0,0.0,0.0,1.0,1.0,620,373
4,50000,24.3,1248,5,700000,1.0,0.0,0.0,0.0,1.0,4992,295
5,70000,25.32,1198,6,310000,1.0,0.0,0.0,0.0,1.0,1011,66
